bus,generator,t,p_mw,lmp
Madrid,Mad_solar,12,4650.0,3.0
Madrid,Mad_gas,13,-0.0,3.0
Madrid,Mad_solar,13,4615.0,3.0
Madrid,Mad_gas,14,-0.0,3.0
Madrid,Mad_solar,14,4580.0,3.0
Madrid,Mad_gas,15,-0.0,3.0
Madrid,Mad_solar,15,4545.0,3.0
Madrid,Mad_gas,16,-0.0,3.0
Madrid,Mad_solar,16,4615.0,3.0
Madrid,Mad_gas,17,-0.0,3.0
Madrid,Mad_solar,17,4825.0,3.0
Madrid,Mad_gas,18,-0.0,3.0
Madrid,Mad_solar,18,5000.0,3.0
Madrid,Mad_gas,19,-0.0,3.0
Madrid,Mad_solar,19,4930.0,3.0
Madrid,Mad_gas,20,-0.0,3.0
Madrid,Mad_solar,20,4755.0,3.0
Madrid,Mad_gas,21,-0.0,3.0
Madrid,Mad_solar,21,4475.0,3.0
Madrid,Mad_gas,22,-0.0,3.0
Madrid,Mad_solar,22,4125.0,3.0
Madrid,Mad_gas,23,-0.0,3.0
Madrid,Mad_solar,23,3775.0,3.0
Rome,Rom_gas,0,-0.0,9.473684210526436
Rome,Rom_hydro,0,-0.0,9.473684210526436
Rome,Rom_gas,1,-0.0,9.473684210526436
Rome,Rom_hydro,1,-0.0,9.473684210526436
Rome,Rom_gas,2,-0.0,9.44341372912792
Rome,Rom_hydro,2,-0.0,9.44341372912792
Rome,Rom_gas,3,-0.0,9.44341372912792
Rome,Rom_hydro,3,-0.0,9.44341372912792
Rome,Rom_gas,4,-0.0,9.44341372912792
Rome,Rom_hydro,4,-0.0,9.44341372912792
Rome,Rom_gas,5,-0.0,9.473684210526436
Rome,Rom_hydro,5,-0.0,9.473684210526436
Rome,Rom_gas,6,-0.0,10.0
Rome,Rom_hydro,6,-0.0,10.0
Rome,Rom_gas,7,-0.0,10.0
Rome,Rom_hydro,7,-0.0,10.0
Rome,Rom_gas,8,-0.0,12.0
Rome,Rom_hydro,8,124.98113207626034,12.0
Rome,Rom_gas,9,-0.0,12.0
Rome,Rom_hydro,9,191.41509434039767,12.0
Rome,Rom_gas,10,-0.0,12.0
Rome,Rom_hydro,10,340.7156720040275,12.0
Rome,Rom_gas,11,-0.0,12.0
Rome,Rom_hydro,11,224.6320754724661,12.0
Rome,Rom_gas,12,-0.0,12.0
Rome,Rom_hydro,12,191.41509434039767,12.0
Rome,Rom_gas,13,-0.0,12.0
Rome,Rom_hydro,13,158.198113208329,12.0
Rome,Rom_gas,14,-0.0,12.0
Rome,Rom_hydro,14,124.98113207626034,12.0
Rome,Rom_gas,15,-0.0,12.0
Rome,Rom_hydro,15,91.7641509441919,12.0
Rome,Rom_gas,16,-0.0,12.0
Rome,Rom_hydro,16,158.198113208329,12.0
Rome,Rom_gas,17,-0.0,12.0
Rome,Rom_hydro,17,715.2444201844232,12.0
Rome,Rom_gas,18,-0.0,12.0
Rome,Rom_hydro,18,1404.961183891226,12.0
Rome,Rom_gas,19,-0.0,12.0
Rome,Rom_hydro,19,1089.773168364818,12.0
Rome,Rom_gas,20,-0.0,12.0
Rome,Rom_hydro,20,465.55858806415995,12.0
Rome,Rom_gas,21,-0.0,12.0
Rome,Rom_hydro,21,25.33018868005479,12.0
Rome,Rom_gas,22,-0.0,10.0
Rome,Rom_hydro,22,-0.0,10.0
Rome,Rom_gas,23,-0.0,9.473684210526436
Rome,Rom_hydro,23,-0.0,9.473684210526436
Amsterdam,Ams_gas,0,-0.0,5.0
Amsterdam,Ams_wind,0,3112.8571428597306,5.0
Amsterdam,Ams_gas,1,-0.0,5.0
Amsterdam,Ams_wind,1,3189.3571428598298,5.0
Amsterdam,Ams_gas,2,-0.0,5.0
Amsterdam,Ams_wind,2,3290.2312483456744,5.0
Amsterdam,Ams_gas,3,-0.0,5.0
Amsterdam,Ams_wind,3,3388.144447391579,5.0
Amsterdam,Ams_gas,4,-0.0,5.0
Amsterdam,Ams_wind,4,3290.2312483456744,5.0
Amsterdam,Ams_gas,5,-0.0,5.0
Amsterdam,Ams_wind,5,3112.8571428597306,5.0
Amsterdam,Ams_gas,6,-0.0,5.0
Amsterdam,Ams_wind,6,2857.8571428594005,5.0
Amsterdam,Ams_gas,7,-0.0,5.0
Amsterdam,Ams_wind,7,2602.8571428590703,5.0
Amsterdam,Ams_gas,8,-0.0,5.0
Amsterdam,Ams_wind,8,2680.0,5.0
Amsterdam,Ams_gas,9,-0.0,5.0
Amsterdam,Ams_wind,9,2725.0,5.0
Amsterdam,Ams_gas,10,-0.0,5.0
Amsterdam,Ams_wind,10,2770.0,5.0
Amsterdam,Ams_gas,11,-0.0,5.0
Amsterdam,Ams_wind,11,2747.5,5.0
Amsterdam,Ams_gas,12,-0.0,5.0
Amsterdam,Ams_wind,12,2725.0,5.0
Amsterdam,Ams_gas,13,-0.0,5.0
Amsterdam,Ams_wind,13,2702.5,5.0
Amsterdam,Ams_gas,14,-0.0,5.0
Amsterdam,Ams_wind,14,2680.0,5.0
Amsterdam,Ams_gas,15,-0.0,5.0
Amsterdam,Ams_wind,15,2657.5,5.0
